1000, 14240, 0, 0
1000, 6356, 1, 0
2000, 14344, 0, 0
2000, 5996, 1, 0
3000, 13792, 0, 0
3000, 5928, 1, 0
4000, 13784, 0, 0
4000, 5704, 1, 0
5000, 14136, 0, 0
5000, 5824, 1, 0
6000, 14560, 0, 0
6000, 6396, 1, 0
7000, 14408, 0, 0
7000, 6276, 1, 0
8000, 14408, 0, 0
8000, 6232, 1, 0
9000, 14552, 0, 0
9000, 5936, 1, 0
10000, 14056, 0, 0
10000, 6240, 1, 0
11000, 19288, 0, 0
11000, 8236, 1, 0
12000, 14556, 0, 0
12000, 5988, 1, 0
13000, 14080, 0, 0
13000, 6296, 1, 0
14000, 14140, 0, 0
14000, 6248, 1, 0
15000, 13764, 0, 0
15000, 5828, 1, 0
16000, 14428, 0, 0
16000, 5836, 1, 0
17000, 17020, 0, 0
17000, 6860, 1, 0
18000, 14424, 0, 0
18000, 6016, 1, 0
19000, 14708, 0, 0
19000, 6444, 1, 0
20000, 16280, 0, 0
20000, 7184, 1, 0
21000, 14184, 0, 0
21000, 5976, 1, 0
22000, 14104, 0, 0
22000, 6344, 1, 0
23000, 14808, 0, 0
23000, 6448, 1, 0
24000, 14344, 0, 0
24000, 6076, 1, 0
25000, 14240, 0, 0
25000, 6044, 1, 0
26000, 14908, 0, 0
26000, 6408, 1, 0
27000, 14900, 0, 0
27000, 6092, 1, 0
28000, 14952, 0, 0
28000, 6308, 1, 0
29000, 13748, 0, 0
29000, 6332, 1, 0
30000, 17068, 0, 0
30000, 7280, 1, 0
31000, 14772, 0, 0
31000, 6296, 1, 0
32000, 14852, 0, 0
32000, 6256, 1, 0
33000, 14116, 0, 0
33000, 6184, 1, 0
34000, 14244, 0, 0
34000, 6184, 1, 0
35000, 15280, 0, 0
35000, 6308, 1, 0
36000, 14884, 0, 0
36000, 6364, 1, 0
37000, 14880, 0, 0
37000, 6352, 1, 0
38000, 14408, 0, 0
38000, 6480, 1, 0
39000, 21556, 0, 0
39000, 9024, 1, 0
40000, 14736, 0, 0
40000, 6148, 1, 0
41000, 14240, 0, 0
41000, 6108, 1, 0
42000, 14184, 0, 0
42000, 6480, 1, 0
43000, 18436, 0, 0
43000, 7808, 1, 0
44000, 19196, 0, 0
44000, 8352, 1, 0
45000, 14452, 0, 0
45000, 6488, 1, 0
46000, 14424, 0, 0
46000, 6208, 1, 0
47000, 14956, 0, 0
47000, 6712, 1, 0
48000, 14220, 0, 0
48000, 6172, 1, 0
49000, 16212, 0, 0
49000, 7160, 1, 0
50000, 18808, 0, 0
50000, 7868, 1, 0
51000, 23956, 0, 0
51000, 10324, 1, 0
52000, 40764, 0, 0
52000, 17844, 1, 0
53000, 14172, 0, 0
53000, 6324, 1, 0
54000, 21832, 0, 0
54000, 9440, 1, 0
55000, 14364, 0, 0
55000, 6168, 1, 0
56000, 13740, 0, 0
56000, 5940, 1, 0
57000, 14276, 0, 0
57000, 5924, 1, 0
58000, 14472, 0, 0
58000, 6052, 1, 0
59000, 14928, 0, 0
59000, 6192, 1, 0
60000, 14060, 0, 0
60000, 6176, 1, 0
61000, 14428, 0, 0
61000, 6088, 1, 0
62000, 14376, 0, 0
62000, 5824, 1, 0
63000, 14312, 0, 0
63000, 6228, 1, 0
64000, 14472, 0, 0
64000, 6304, 1, 0
65000, 16168, 0, 0
65000, 6840, 1, 0
66000, 31912, 0, 0
66000, 13948, 1, 0
67000, 15048, 0, 0
67000, 6052, 1, 0
68000, 14004, 0, 0
68000, 6468, 1, 0
69000, 21640, 0, 0
69000, 9388, 1, 0
70000, 14156, 0, 0
70000, 6212, 1, 0
71000, 14876, 0, 0
71000, 6444, 1, 0
72000, 14204, 0, 0
72000, 6444, 1, 0
73000, 14436, 0, 0
73000, 5924, 1, 0
74000, 33860, 0, 0
74000, 14312, 1, 0
75000, 31488, 0, 0
75000, 13396, 1, 0
76000, 14288, 0, 0
76000, 5948, 1, 0
77000, 14256, 0, 0
77000, 6168, 1, 0
78000, 14472, 0, 0
78000, 6456, 1, 0
79000, 14900, 0, 0
79000, 6220, 1, 0
80000, 14020, 0, 0
80000, 6024, 1, 0
81000, 14284, 0, 0
81000, 6052, 1, 0
82000, 14732, 0, 0
82000, 6508, 1, 0
83000, 14328, 0, 0
83000, 6300, 1, 0
84000, 14156, 0, 0
84000, 6392, 1, 0
85000, 14148, 0, 0
85000, 6152, 1, 0
86000, 13992, 0, 0
86000, 6208, 1, 0
87000, 14416, 0, 0
87000, 6368, 1, 0
88000, 14524, 0, 0
88000, 5952, 1, 0
89000, 14516, 0, 0
89000, 6276, 1, 0
90000, 14616, 0, 0
90000, 6344, 1, 0
91000, 14460, 0, 0
91000, 6140, 1, 0
92000, 14004, 0, 0
92000, 6104, 1, 0
93000, 14512, 0, 0
93000, 6148, 1, 0
94001, 13946, 0, 0
94001, 6553, 1, 0
95000, 15124, 0, 0
95000, 6112, 1, 0
96000, 15668, 0, 0
96000, 6740, 1, 0
